city,name,also_known_as,architect/creator,date_constructed,era_dynasty,description,architectural_style,key_features,visitor_info,image_prompt,type,tags
Meknes,Volubilis,Walili,Roman,3rd Century BC - 3rd Century AD,Roman/Mauretanian,"The best-preserved Roman ruins in Morocco, a UNESCO World Heritage Site located near Meknes. It features stunning mosaics and grand arches.",Roman,"The Triumphal Arch of Caracalla; The intricate mosaic floors (e.g., House of Orpheus); The ancient Capitol and Basilica",Open 8:30 AM-5:30 PM. Fee: 70 MAD. Hire a guide for context. Sun protection essential.,Triumphal Arch of Caracalla at Volubilis ruins under a clear blue sky,Roman Ruins,"unesco, history, archaeology, photography"
Meknes,Bab Mansour,Bab Mansour al-'Alj,Alaouite,1732,Alaouite,"Considered one of the most magnificent gates in Morocco, adorned with intricate zellij tilework and massive columns.",Alaouite,The grand scale and ornate green zellij mosaics; The large marble columns flanking the entrance; The view from Place el-Hedim square,Best viewed from Place el-Hedim. The gate itself is often closed.,Grand Bab Mansour gate in Meknes with detailed green zellij tilework and massive arches,City Gate,"iconic, mosaic, architecture, photo-op"
Meknes,Moulay Ismail Mausoleum,Tombeau de Moulay Ismail,Alaouite,18th Century,Alaouite,The final resting place of the powerful Sultan Moulay Ismail. It's one of the few sacred sites in Morocco open to non-Muslims.,Alaouite,The beautifully decorated courtyards; The main tomb chamber with historical clocks; The peaceful and respectful atmosphere,"Open 9 AM-12 PM, 3 PM-6 PM. Free entry. Dress modestly.",Sunlit courtyard of Moulay Ismail Mausoleum with zellij tiles and carved cedar wood,Mausoleum,"royal, sacred, history, craftsmanship"
Fes,Al-Qarawiyyin University,University of Al-Karaouine,Islamic,859,Idrisid,"Recognized as the oldest existing, continually operating educational institution in the world by UNESCO and Guinness.",Islamic,The historic library (access may be restricted); The beautiful central courtyard and fountain; The spiritual and academic significance,Functioning mosque and university. Non-Muslims cannot enter but can see the famous gates.,Ancient ornate wooden doors of Al-Qarawiyyin University in Fes medina,University/Mosque,"oldest, education, unesco, sacred"
Fes,Bab Bou Jeloud,Blue Gate,Neo-Moorish,1913,Alaouite,"The main ceremonial gate to the Fes el-Bali medina, famous for its brilliant blue ceramic tiles on the outside.",Neo-Moorish,The intricate blue (outside) and green (inside) zellij; The vibrant street life and entrance to the medina; The triple-arch design,Open 24/7. Free. The main entry point to the old medina.,Bab Bou Jeloud gate in Fes with vibrant blue tiles and bustling street scene,City Gate,"iconic, gateway, mosaic, medina"
Fes,Chouara Tannery,Dyers' Quarter,Vernacular,11th Century,Almoravid,"One of the oldest tanneries in the world, where leather is still processed using ancient, traditional methods.",Vernacular,The view from the surrounding leather shop terraces; The multi-colored dye pits; The traditional process of treating hides,Open daily. Free to view from terraces. Expect to be offered to buy leather goods. Mint helps with the smell.,Aerial view of Chouara Tannery in Fes showing multi-colored circular dye vats,Traditional Workshop,"ancient, unique, shopping, photo-op"
Rif Mountains,Chefchaouen,The Blue Pearl,Andalusian,1471,15th Century,"The entire medina is famous for its striking blue-washed buildings, nestled in the Rif Mountains.",Andalusian,Getting lost in the blue streets and alleys; Photography of the vibrant blue and white hues; Shopping for local wool garments and crafts,Open 24/7. Free. Be respectful; ask before taking photos of people.,Narrow blue-washed street in Chefchaouen with flower pots and rustic doors,Historic District,"blue, instagram, shopping, relaxing"
Rif Mountains,Akchour Waterfalls,Cascades d'Akchour,Natural,natural,Natural,A series of stunning turquoise waterfalls and natural pools nestled in a lush gorge. A popular destination for hiking and swimming.,Natural,The natural rock bridge known as God's Bridge; The refreshing swimming pools; The scenic hike through the forest,Open daylight hours. Small fee payable. Wear sturdy shoes for the hike.,Turquoise water cascading down the Akchour Waterfalls in a green forest,Natural Site,"hiking, swimming, nature, instagram"
Al Hoceima,Al Hoceima National Park,Parc National d'Al Hoceima,Natural,natural,Natural,"A coastal national park with dramatic cliffs, hidden coves, and pristine beaches. A paradise for hiking and nature lovers.",Natural,Cala Iris beach and its iconic islets; Hiking trails along the Mediterranean cliffs; Snorkeling in crystal-clear waters,Open 24/7. No entry fee. Best in spring/autumn. Some beaches require a hike/boat.,Aerial view of dramatic cliffs and turquoise coves of Al Hoceima National Park,Natural Park,"hiking, beaches, snorkeling, paradise"
Al Hoceima,Plaza España,Place du Rif,Spanish Colonial,1920s,Spanish Protectorate,"The main square in Al Hoceima, a reminder of its Spanish colonial past. Surrounded by white-and-blue buildings.",Spanish Colonial,The distinctive white and blue architecture; The central fountain and palm trees; The lively atmosphere in the evenings,Open 24/7. Free. The best place to feel the pulse of the city.,Plaza España in Al Hoceima with white and blue buildings and palm trees,Historic Square,"spanish, colonial, cafe, relaxing"
